FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better
15001020100,"Census Tract 201, Hawaii County, Hawaii",ACSSF,hi,140,0,280,15,1,20100,14000US15001020100,Census Tract 201,,3102,252,1747,1103,8.12,56.32,35.56
15001020202,"Census Tract 202.02, Hawaii County, Hawaii",ACSSF,hi,140,0,281,15,1,20202,14000US15001020202,Census Tract 202.02,,2066,210,1436,420,10.16,69.51,20.33
15001020300,"Census Tract 203, Hawaii County, Hawaii",ACSSF,hi,140,0,282,15,1,20300,14000US15001020300,Census Tract 203,,2840,292,1392,1156,10.28,49.01,40.7
15001020400,"Census Tract 204, Hawaii County, Hawaii",ACSSF,hi,140,0,283,15,1,20400,14000US15001020400,Census Tract 204,,2524,121,1577,826,4.79,62.48,32.73
15001020500,"Census Tract 205, Hawaii County, Hawaii",ACSSF,hi,140,0,284,15,1,20500,14000US15001020500,Census Tract 205,,3260,369,2162,729,11.32,66.32,22.36
15001020600,"Census Tract 206, Hawaii County, Hawaii",ACSSF,hi,140,0,285,15,1,20600,14000US15001020600,Census Tract 206,,4429,364,3025,1040,8.22,68.3,23.48
15001020701,"Census Tract 207.01, Hawaii County, Hawaii",ACSSF,hi,140,0,286,15,1,20701,14000US15001020701,Census Tract 207.01,,3693,217,2313,1163,5.88,62.63,31.49
15001020702,"Census Tract 207.02, Hawaii County, Hawaii",ACSSF,hi,140,0,287,15,1,20702,14000US15001020702,Census Tract 207.02,,3382,111,2035,1236,3.28,60.17,36.55
15001020801,"Census Tract 208.01, Hawaii County, Hawaii",ACSSF,hi,140,0,288,15,1,20801,14000US15001020801,Census Tract 208.01,,3518,138,2002,1378,3.92,56.91,39.17
15001020802,"Census Tract 208.02, Hawaii County, Hawaii",ACSSF,hi,140,0,289,15,1,20802,14000US15001020802,Census Tract 208.02,,5219,221,2914,2084,4.23,55.83,39.93
15001020900,"Census Tract 209, Hawaii County, Hawaii",ACSSF,hi,140,0,290,15,1,20900,14000US15001020900,Census Tract 209,,3333,92,1883,1358,2.76,56.5,40.74
15001021003,"Census Tract 210.03, Hawaii County, Hawaii",ACSSF,hi,140,0,291,15,1,21003,14000US15001021003,Census Tract 210.03,,4961,614,3552,795,12.38,71.6,16.02
15001021011,"Census Tract 210.11, Hawaii County, Hawaii",ACSSF,hi,140,0,292,15,1,21011,14000US15001021011,Census Tract 210.11,,2786,116,1841,829,4.16,66.08,29.76
15001021013,"Census Tract 210.13, Hawaii County, Hawaii",ACSSF,hi,140,0,293,15,1,21013,14000US15001021013,Census Tract 210.13,,4017,364,2613,1040,9.06,65.05,25.89
15001021014,"Census Tract 210.14, Hawaii County, Hawaii",ACSSF,hi,140,0,294,15,1,21014,14000US15001021014,Census Tract 210.14,,5229,375,4051,803,7.17,77.47,15.36
15001021015,"Census Tract 210.15, Hawaii County, Hawaii",ACSSF,hi,140,0,295,15,1,21015,14000US15001021015,Census Tract 210.15,,2976,131,2048,797,4.4,68.82,26.78
15001021016,"Census Tract 210.16, Hawaii County, Hawaii",ACSSF,hi,140,0,296,15,1,21016,14000US15001021016,Census Tract 210.16,,3447,180,2578,689,5.22,74.79,19.99
15001021017,"Census Tract 210.17, Hawaii County, Hawaii",ACSSF,hi,140,0,297,15,1,21017,14000US15001021017,Census Tract 210.17,,2913,246,1699,968,8.44,58.32,33.23
15001021101,"Census Tract 211.01, Hawaii County, Hawaii",ACSSF,hi,140,0,298,15,1,21101,14000US15001021101,Census Tract 211.01,,2409,123,1448,838,5.11,60.11,34.79
15001021107,"Census Tract 211.07, Hawaii County, Hawaii",ACSSF,hi,140,0,299,15,1,21107,14000US15001021107,Census Tract 211.07,,859,73,511,275,8.5,59.49,32.01
15001021108,"Census Tract 211.08, Hawaii County, Hawaii",ACSSF,hi,140,0,300,15,1,21108,14000US15001021108,Census Tract 211.08,,4641,508,3087,1046,10.95,66.52,22.54
15001021203,"Census Tract 212.03, Hawaii County, Hawaii",ACSSF,hi,140,0,301,15,1,21203,14000US15001021203,Census Tract 212.03,,4364,500,3141,723,11.46,71.98,16.57
15001021204,"Census Tract 212.04, Hawaii County, Hawaii",ACSSF,hi,140,0,302,15,1,21204,14000US15001021204,Census Tract 212.04,,1813,124,1297,392,6.84,71.54,21.62
15001021300,"Census Tract 213, Hawaii County, Hawaii",ACSSF,hi,140,0,303,15,1,21300,14000US15001021300,Census Tract 213,,5717,660,3401,1656,11.54,59.49,28.97
15001021402,"Census Tract 214.02, Hawaii County, Hawaii",ACSSF,hi,140,0,304,15,1,21402,14000US15001021402,Census Tract 214.02,,2568,176,1685,707,6.85,65.62,27.53
15001021502,"Census Tract 215.02, Hawaii County, Hawaii",ACSSF,hi,140,0,305,15,1,21502,14000US15001021502,Census Tract 215.02,,3540,213,2307,1020,6.02,65.17,28.81
15001021504,"Census Tract 215.04, Hawaii County, Hawaii",ACSSF,hi,140,0,306,15,1,21504,14000US15001021504,Census Tract 215.04,,3441,455,2413,573,13.22,70.12,16.65
15001021510,"Census Tract 215.10, Hawaii County, Hawaii",ACSSF,hi,140,0,307,15,1,21510,14000US15001021510,Census Tract 215.10,,4012,270,2015,1727,6.73,50.22,43.05
15001021511,"Census Tract 215.11, Hawaii County, Hawaii",ACSSF,hi,140,0,308,15,1,21511,14000US15001021511,Census Tract 215.11,,1622,52,1057,513,3.21,65.17,31.63
